0,0
0,1
0,2
0,3
0,4
0,5
0,6
1,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
4,23
5,24
6,25
7,26
8,27
9,28
10,29
11,30
12,31
13,32
14,33
15,34
16,35
17,36
18,37
19,38
20,39
21,40
22,41
23,42
24,43
25,44
26,45
27,46
28,47
29,48
30,49
31,50
32,51
33,52
34,53
35,54
36,55
37,56
38,57
39,58
40,59
41,60
42,61
43,62
44,63
45,64
46,65
47,66
48,67
49,68
50,69
51,70
52,71
53,72
54,73
55,74
56,75
57,76
58,77
59,78
60,79
61,80
62,81
63,82
64,83
65,84
66,85
67,86
68,87
69,88
70,89
71,90
72,91
73,92
74,93
75,94
76,95
77,96
78,97
79,98
80,99
81,100
82,101
83,102
84,103
85,104
86,105
87,106
88,107
89,108
90,109
91,110
92,111
93,112
94,113
95,114
96,115
97,116
98,117
99,118
100,119
101,120
102,121
103,122
104,123
105,124
106,125
107,126
108,127
109,128
110,129
111,130
112,131
113,132
114,133
115,134
116,135
117,136
118,137
119,138
120,139
121,140
122,141
123,142
124,143
125,144
126,145
127,146
128,147
129,148
130,149
131,150
132,150
133,150
134,150
135,150
136,150
137,150
138,150
139,150
140,150
141,150
142,150
143,150
144,150
145,150
146,150
147,150
148,150
149,150
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
163,163
164,164
165,165
166,166
167,167
168,168
169,169
